id,nombre,costo,precio_venta
266,*MECANO TABLETA CHOC X 80 GS -,1170.0,1300.0
267,*MECANO TABLETA  BLANCO X 80 GS -,1170.0,1300.0
268,*BONA BOCADITO DDL -,8280.0,9200.0
269,*BONA BOCADITO MENTA -,0.0,0.0
270,*BONA MECANO NUGATON RUEDA ,7560.0,8400.0
271,*BONA BOCADITO RHUM-,0.0,0.0
272,CACHAFAZ ALFAJOR X12 NEGRO ,14851.8,16502.0
273,CACHAFAZ ALFAJOR X12 BLANCO,14851.8,16502.0
274,CACHAFAZ ALFAJOR X12 MAICENA,14851.8,16502.0
275,CACHAFAZ ALFAJOR X12 MOUSSE,14851.8,16502.0
276,CACHAFAZ CONITO X12U.,13383.0,14870.0
277,CACHAFAZ MARROC X54 U ,29783.7,33093.0
278,CACHAFAZ GALLETA ALGARROBA,1438.2,1598.0
279,CACHAFAZ GALLETA AVE/CHIP ,1881.0,2090.0
280,CACHAFAZ GALLETA AVE/PASAS,1438.2,1598.0
281,CACHAFAZ GALLETA GRANOLA,1683.0,1870.0
282,*CADBURY INTENSE X24GR,0.0,0.0
283,*AZUCAR CAMPO BLANCO X 10 ,675.0,750.0
284,CAPITAN NEGRO X36,693.0,770.0
285,CAPITAN BLANCO X36,693.0,770.0
286,CAPITAN TRIPLE X3 x24,1085.4,1206.0
287,CAPITAN FRUTA ,0.0,0.0
288,CAPULLITOS CAÑITOS X80GS.,288.0,320.0
289,CAPULLITOS CHIZITO COLOR X80,288.0,320.0
290,CAPULLITOS CHIZITO X80G,288.0,320.0
291,CAPULLITOS LARGUITOS X80GS.,288.0,320.0
292,CAPULLITOS MAIZ 30X20GS,288.0,320.0
293,CAPULLITOS MAIZ X80GS.,288.0,320.0
294,CAPULLITOS PIZZITAS X80,288.0,320.0
295,CAPULLITOS TAPITAS X80GS.,288.0,320.0
296,CARILO GALLETA ARROZ C/SAL,1028.7,1143.0
297,CARILO GALLETA ARROZ DULCE X150,1028.7,1143.0
298,CARILO GALLETA ARROZ S/SAL,1028.7,1143.0
299,*CARTAS CASINO X50 NAIPES -,1475.1,1639.0
300,*CARTAS CASINO X40 NAIPES-,1271.7,1413.0
301,CEREALKO ARROCITAS CARAMEL x55,738.0,820.0
302,CEREALKO ARROCITAS F/HIERBAS x55,738.0,820.0
303,CEREALKO ARROCITAS ORIGINAL x55,738.0,820.0
304,*CHOCMAN CLASICO X15,10854.0,12060.0
305,*CHOCMAN BLACK X15,10854.0,12060.0
306,*CHOCOARROZ DULCE DE LECHE X30-,279.0,310.0
307,*CHOCOARROZ BLANCO X30-,279.0,310.0
308,*CHOCOARROZ LIMON X30-,279.0,310.0
309,*CHOCOARROZ MOUSSE X30-,279.0,310.0
310,CILO LENGUITA BA—ADA X300GS.,918.9,1021.0
311,CILO LENGUITA MEMBRILLO X400,918.9,1021.0
312,CILO MIEL X350GS.,918.9,1021.0
313,CILO SURTIDA X400GS.,918.9,1021.0
314,CILO ANILLOS LIMON X400,918.9,1021.0
315,CILO ANILLOS VAINILLA X400,918.9,1021.0
316,CILO DOBLINAS X320,918.9,1021.0
317,CILO LENGUITA COCO X340,918.9,1021.0
318,CILO LENGUITA X200GS.,324.9,361.0
319,CILO LENGUITA X400GS.,918.9,1021.0
320,CILO PEPA BA—ADA X300GS.,918.9,1021.0
321,CILO PEPA LIGHT X300G,918.9,1021.0
322,CILO PEPAS X200GS.,918.9,1021.0
323,CILO PEPAS X400GS.,918.9,1021.0
324,CILO POLVOR AZUC. X400G,918.9,1021.0
325,CILO POLVORON C/CHIPS X340,918.9,1021.0
326,CILO SCONS X400G.,918.9,1021.0
327,*CURITAS X24 UN -,310.5,345.0
328,*DOLCA BANANITA 16X14GS.,4957.2,5508.0
329,*DOLCA BANANITA 16X30GS.-,5593.5,6215.0
330,*CAFÉ DOLCA X50 GR -,2277.0,2530.0
331,*CAFÉ DOLCA SUAVE X50 GR-,2277.0,2530.0
332,*CAFÉ DOLCA X100 GR,3312.0,3680.0
333,*CAFÉ DOLCA SUAVE X100 GR,3312.0,3680.0
334,*CAFE DOLCA X170 GR,5154.3,5727.0
335,*CAFÉ DOLCA SUAVE X170 GR,5154.3,5727.0
336,-DON RAUL PALMERITAS X200GR,887.4,986.0
337,*DORIN''S CORAZONCITOS CLASICO X20U.-,2949.3,3277.0
338,*DORIN''S CORAZONCITOS FRAMBUESA X20U.-,2949.3,3277.0
339,*DORIN''S CORAZONCITOS MIX X20U.-,2949.3,3277.0
340,*DORIN''S CORAZONCITOS MARACUYA MIX X20U.-,2949.3,3277.0
341,*DORIN''S CORAZONCITOS FRUTILLA MIX X20U.-,2949.3,3277.0
342,*DOVE JABON 90gr-,1076.4,1196.0
343,*DESODORANTE DOVE X12,2173.5,2415.0
344,DUCADOS BUDIN X300 CHOCOL C/CHIP,1609.2,1788.0
345,DUCADOS BUDIN X300 D/LECHE C/CHIP,1609.2,1788.0
